iter	Passed	Remaining
818	4375	967
819	4381	961
820	4385	956
821	4389	950
822	4395	945
823	4399	939
824	4403	934
825	4409	928
826	4416	923
827	4422	918
828	4428	913
829	4433	908
830	4437	902
831	4443	897
832	4449	892
833	4454	886
834	4461	881
835	4467	876
836	4471	870
837	4479	865
838	4483	860
839	4487	854
840	4493	849
841	4497	843
842	4502	838
843	4507	833
844	4512	827
845	4516	822
846	4519	816
847	4525	811
848	4531	805
849	4535	800
850	4539	794
851	4544	789
852	4548	783
853	4554	778
854	4559	773
855	4563	767
856	4567	762
857	4573	756
858	4578	751
859	4583	746
860	4588	740
861	4592	735
862	4598	730
863	4608	725
864	4614	720
865	4620	714
866	4626	709
867	4631	704
868	4635	698
869	4640	693
870	4646	688
871	4651	682
872	4656	677
873	4663	672
874	4668	666
875	4673	661
876	4677	656
877	4682	650
878	4687	645
879	4691	639
880	4694	634
881	4698	628
882	4703	623
883	4707	617
884	4710	612
885	4715	606
886	4721	601
887	4727	596
888	4731	590
889	4735	585
890	4739	579
891	4743	574
892	4746	568
893	4751	563
894	4756	557
895	4759	552
896	4764	547
897	4769	541
898	4773	536
899	4777	530
900	4781	525
901	4786	520
902	4792	514
903	4796	509
904	4801	503
905	4805	498
906	4809	493
907	4813	487
908	4818	482
909	4822	476
910	4826	471
911	4830	466
912	4836	460
913	4841	455
914	4847	450
915	4852	444
916	4856	439
917	4862	434
918	4869	429
919	4875	423
920	4879	418
921	4883	413
922	4887	407
923	4890	402
924	4894	396
925	4898	391
926	4902	386
927	4906	380
928	4910	375
929	4914	369
930	4919	364
931	4923	359
932	4927	353
933	4931	348
934	4935	343
935	4939	337
936	4943	332
937	4948	327
938	4952	321
939	4956	316
940	4960	310
941	4964	305
942	4968	300
943	4972	294
944	4976	289
945	4982	284
946	4986	279
947	4990	273
948	4994	268
949	4998	263
950	5002	257
951	5006	252
952	5010	247
953	5014	241
954	5018	236
955	5022	231
956	5026	225
957	5031	220
958	5035	215
959	5040	210
960	5047	204
961	5053	199
962	5056	194
963	5062	189
964	5066	183
965	5070	178
966	5074	173
967	5078	167
968	5082	162
969	5086	157
970	5091	152
971	5095	146
972	5099	141
973	5103	136
974	5107	130
975	5111	125
976	5115	120
977	5119	115
978	5123	109
979	5128	104
980	5131	99
981	5135	94
982	5139	88
983	5144	83
984	5148	78
985	5152	73
986	5155	67
987	5161	62
988	5166	57
989	5171	52
990	5177	47
991	5181	41
992	5186	36
993	5191	31
994	5195	26
995	5199	20
996	5203	15
997	5207	10
998	5211	5
999	5215	0
